timestamp,temperature
15-01-2026 10:00,35.938
15-01-2026 10:30,36.476
15-01-2026 11:00,37.552
15-01-2026 11:00,37.552
15-01-2026 11:30,37.014
15-01-2026 12:00,37.014
15-01-2026 12:30,37.552
15-01-2026 13:00,37.014
15-01-2026 13:30,36.476
15-01-2026 14:00,37.552
15-01-2026 14:30,37.014
15-01-2026 15:00,36.476
15-01-2026 15:30,36.476
15-01-2026 16:00,37.014
15-01-2026 16:30,36.476
15-01-2026 17:00,37.014
15-01-2026 17:30,37.014
15-01-2026 18:00,34.862
15-01-2026 18:30,35.4
15-01-2026 19:00,34.862
15-01-2026 19:30,36.476
15-01-2026 20:00,36.476
15-01-2026 20:30,35.938
15-01-2026 21:00,35.938
15-01-2026 21:30,36.476
15-01-2026 22:00,36.476
15-01-2026 22:30,36.476
15-01-2026 23:00,35.4
15-01-2026 23:30,35.4
16-01-2026 00:00,36.476
16-01-2026 00:30,35.938
16-01-2026 01:00,36.476
16-01-2026 01:30,36.476
16-01-2026 02:00,36.476
16-01-2026 02:30,37.014
16-01-2026 03:00,36.476
16-01-2026 03:30,35.938
16-01-2026 04:00,36.476
16-01-2026 04:30,36.476
16-01-2026 05:00,37.014
16-01-2026 05:30,36.476
16-01-2026 06:00,37.552
16-01-2026 06:30,38.09
16-01-2026 07:00,37.552
16-01-2026 07:30,38.09
16-01-2026 08:00,38.628
16-01-2026 08:30,39.704
16-01-2026 09:00,39.704
16-01-2026 09:30,40.78
16-01-2026 10:00,40.78
16-01-2026 10:30,40.78
,
,
